No,Name,Phone,Address,Type
6438,Duke Of Delhi,01508 470 086,"Ipswich Rd, Norwich, Norfolk, NR15 1UB",Restaurant - Indian
6439,Martin Wones Electrical,07468 572 068,"23 Watson-Watt Gardens, Norwich, Norfolk, NR11 8LT",Electrical Contractors And Electricians
6440,Norwich & Norfolk Upholstery,01603 487 272,"32 Mason Rd, Norwich, Norfolk, NR6 6RF",Upholstering
6441,Norwich Chinese Massage,07758 539 168,"12 Bishop Bridge Road, Norwich, Norfolk, NR1 4ET",Relaxation Therapy
6442,Freeman Lettings,01603 552 504,"15 Knappers Way, Norwich, Norfolk, NR8 5GF",Estate Agents
6443,Norwich House Clearance,01603 273 571,"41 Sandy Lane,, Taverham, Norwich, Norfolk, NR8 6JS",Removals And Storage Activities (domestic)
6444,1975 Graphic Design Studio,01603 327 975,"Studio 4, Capitol House, Heigham St, Norwich, Norfolk, NR2 4TE",Newspapers Publishing
6445,Norfolk Jims Towbars,0800 801 215,"Taverham Rd, Norwich, Norfolk, NR8 6SB",Towing Bars Fitting And Supply
6446,North & Hawkins Building Consultancy,01603 397 055,"2 Redwell St, Norwich, Norfolk, NR2 4SN",Land Surveying Activities
6447,Poundland - Closed,01603 633 280,"Unit Lsu6, 100 The Mall, Norwich, Norfolk, NR1 3DD",Discount Centres
6448,A2B Taxis Norwich,01603 552 324,"191 Queens Rd, Norwich, Norfolk, NR1 3PP",Taxis
6449,Martin Barmby,07789 405 521,"Diamond Services E A Unit 5, Baines Way, Bowthorpe Employment Area, Norwich, Norfolk, NR5 9JR",Electrical Contractors And Electricians
6450,Hugh J Boswell Ltd,01603 626 155,"Carrow Hill, Norwich, Norfolk, NR1 2AH",Insurance Companies And Agents
6451,Andrew Thacker Landscape Services,01603 737 013,"The Barn, Dairy Farm, Wroxham Rd, Norwich, Norfolk, NR12 7AH",Landscape Contractors
6452,Fat Buddha Designs,07847 300 332,"11 Blofield Corner Rd, Norwich, Norfolk, NR13 4SA",Web Site Design And Development
6453,Carl Smith Salvage,01508 488 127,"The Labrador Turnpike, Norwich, Norfolk, NR16 1EH",Motor Vehicle Mechanics
6454,Antique Furniture Restoration & Conservation,01953 717 937,"The Oaks, Norwich, Norfolk, NR16 2QS",Furniture (repair And Restored)
6455,East Coast Fire & Security,0800 012 6409,"5, Queen St, Norwich, Norfolk, NR2 4SG",Security Equipment Suppliers And Manufacturers
6456,Accord Legal Services Ltd,07833 776 511,"69, Garlondes, Norwich, Norfolk, NR16 2NR",Legal Services
6457,Spire Norwich Urology & Men's Health Clinic,01603 456 181,"Spire Norwich Hospital, Old Watton Road, Norwich, Norfolk, NR4 7TD",Doctors
6458,Spire Norwich Gynaecology & Women's Health Clinic,01603 456 181,"Spire Norwich Hospital, Old Watton Road, Norwich, Norfolk, NR4 7TD",Hospitals
6459,Fuller's Fencing,07800 792 280,"21 Rye Avenue, Norwich, Norfolk, NR3 2QE",Fencing Contractors
6460,The Roofing & Scaffolding Co.Ltd,07764 962 627,"15 Lonsdale Rd, Norwich, Norfolk, NR13 6QW",Roofing Contracting Services
6461,Vigour Mobile Massage,07730 553 737,"13 Peter Pulling Drive, Norwich, Norfolk, NR8 5GN",Masseurs
6462,Reach Right Cleaning,01493 802 088,"3 Church Rd, Norwich, Norfolk, NR12 8YL",Cleaning Contracting Domestic
6463,Pearl Dental Surgery,01603 453 331,"541 Earlham Rd, Norwich, Norfolk, NR4 7HW",Dentists
6464,Tpi Security Ltd,01362 527 365,"5 Boundary Lane, Norwich, Norfolk, NR7 0TB",Security Equipment Suppliers And Manufacturers
6465,Ashdown Arborists,07753 455 739,"Dovehouse Cottage Diss Rd, Norwich, Norfolk, NR16 1PW",Gardening Services
6466,Green Turf Solutions,07783 531 641,"17 Greenfields, Norwich, Norfolk, NR16 2NJ",Landscape Contractors
6467,Leadenhall Suit Co (Norwich) Ltd,01603 616 188,"59, St. Benedicts St, Norwich, Norfolk, NR2 4PQ",Tailors
6468,David Lloyd Norwich,3448484732,"Drayton High Road, Drayton, Norwich, Norfolk, NR6 5DU",Fitness Equipment
6469,Sew Ruth,07415 237 231,"58 Yarmouth Rd, Norwich, Norfolk, NR13 4LQ",Camping Equipment Suppliers
6470,Lg Sameday Courier,07549 080 642,"11 Allerton Rd, Norwich, Norfolk, NR7 8ND",Mail Distribution And Delivery Of
6471,G N Tuck Builders,07770 637 754,"Treetops Shortthorn Road, Norwich, Norfolk, NR10 5NX",Building Construction Contractors
6472,Doctors Laser Clinic,01603 360 360,"The Old Surgery Stoke Rd, Norwich, Norfolk, NR14 7JL",Hospitals
6473,House Of Fraser Norwich,01603 691 800,"Gf Chapelfield Shopping Centre, Merchants Hall, Norwich, Norfolk, NR2 1SH",Departmental Stores
6474,K.K Roofline Installations,07938 398 068,"76 Evans Way, Norwich, Norfolk, NR6 7LR",Guttering Repair Services
6475,Heritage Will Writers,01603 894 500,"13 Hellesdon Park Rd, Hellesdon Park, Drayton, Norwich, Norfolk, NR6 5DR",Legal Services
6476,Broadland Glass Services Ltd,01603 784 101,"Unit 32 Stalham Rd Ind Est, Norwich, Norfolk, NR12 8DZ",Replacement Window Services And Repairs
6477,The Spotted Moon Company,07796 174 255,"Cedar House The St, Norwich, Norfolk, NR16 1QA",Engravers
6478,Norclear,01603 715 522,"6 Station Close, Norwich, Norfolk, NR13 4AX",Removals And Storage Activities (domestic)
6479,Spire Norwich Cardiology Clinic,01603 456 181,"Spire Norwich Hospital, Old Watton Road, Norwich, Norfolk, NR4 7TD",Surgeons
6480,Simplicity Cremations,01603 484 396,"193 Earlham Road, Norwich, Norfolk, NR2 3RG",Funeral Services
6481,Matalan,3330044444,"Unit 6A, Riverside Retail Park, Norwich, Norfolk, NR1 1WU",Clothing Retailers
6482,Kett Business Solutions,01502 712 939,"Rouen House Rouen Rd, Norwich, Norfolk, NR1 1RB",Technical And Industrial Schools
6483,Anglian Metals,01603 881 666,"Sunnyside, The Loke, Longwater Lane, Costessey, Norwich, Norfolk, NR5 0TD",Scrap Metal Dealers
6484,North Norfolk Aerials,01263 721 865,"Hill Top School Lane, Norwich, Norfolk, NR11 8HJ",Cable Television Service Providers
6485,Trespass,01603 610 966,"148 Chapel Field East, Norwich, Norfolk, NR2 1SB",Outdoor Clothing And Equipment
6486,Better Minded Therapy,07790 940 421,"82 Middleton Crescent, Norwich, Norfolk, NR5 0PX",Hypnotherapists
6487,Tinklers Motor Cycles Ltd,01603 627 786,"182-190 Northumberland St, Norwich, Norfolk, NR2 4EE",Motor Cycles & Scooters
6488,Dpd Parcel Shop Location - At Your Convenience,0121 275 0500,"55 Earham Road, Norwich, Norfolk, NR2 3AD",Couriers
6489,Dpd Parcel Shop Location - Natural Health Pharmacy (Numark),0121 275 0500,"117F Ipswich Road, Norwich, Norfolk, NR4 6LD",Couriers
6490,Custom Movers,07341 261 613,"9 Palmer Rd, Norwich, Norfolk, NR3 3RW",Removals And Storage Activities (domestic)
6491,Dpd Parcel Shop Location - Natural Health Pharmacy (Numark),0121 275 0500,"1 St John's Close, Norwich, Norfolk, NR1 2AD",Couriers
6492,Dpd Parcel Shop Location - Coltishall Pharmacy (Numark),0121 275 0500,"30 High Street, Norwich, Norfolk, NR12 7AA",Couriers
6493,Dpd Parcel Shop Location - Hughes,0121 275 0500,"2 Mason Road, Norwich, Norfolk, NR6 6RF",Couriers
6494,The Works,01603 628 566,"136, Saint Stephens Street, Saint Stephens Street, Norwich, Norfolk, NR2 1SH",Discount Centres
6495,Signforce Ltd,01603 411 573,"Unit 4 Burton Close, Norwich, Norfolk, NR6 6AY",Printers On Plastics And Other Surfaces
6496,Wolseley,01603 486 477,"Units 9 And 10 Auster Close, Concorde Road, Norwich, Norfolk, NR6 6BD",Heating Contractors
6497,Spire Norwich Hospital,01603 456 181,"Old Watton Road, Colney, Norwich, Norfolk, NR4 7TD",Hospitals
6498,Spire Norwich Private Gp Surgery,01603 456 181,"Spire Norwich Hospital, Old Watton Road, Norwich, Norfolk, NR4 7TD",Doctors
6499,Spire Norwich Sports & Physiotherapy Clinic,01603 294 025,"Spire Norwich Hospital, Old Watton Road, Norwich, Norfolk, NR4 7TD",Physiotherapists
6500,Spire Norwich Dermatology & Skin Care Clinic,01603 294 025,"Spire Norwich Hospital, Old Watton Road, Norwich, Norfolk, NR4 7TD",Dermatologists
6501,Devlin Stitches,01603 879 207,"(Rogers) Common Lane, Norwich, Norfolk, NR9 5QH",Clothing Retailers
6502,Spire Norwich Plastic & Cosmetic Surgery Clinic,01603 456 181,"Spire Norwich Hospital, Old Watton Road, Norwich, Norfolk, NR4 7TD",Cosmetic Surgery
6503,Celebration Cars & Events,07469 171 911,"35 Braymeadow Lane, Norwich, Norfolk, NR9 3NH",Vehicle Rental (car)
6504,Andrew Gowing Home Inspections,01508 501 401,"7 Red Robin Close, Norwich, Norfolk, NR15 2ZD",Energy Conservation Consultants
6505,Kip Mcgrath Norwich North,01603 423 969,"288 Aylsham Rd, Norwich, Norfolk, NR3 2RG",Further Education Schools And Colleges
6506,The Lanes Clinic,01603 660 022,"7 St. Johns Alley, Norwich, Norfolk, NR2 1DR",Hypnotherapists
6507,Eastern Damp Solutions Ltd,01603 762 804,"115 City Rd, Norwich, Norfolk, NR1 2HL",Waterproofing
6508,Admiral Signs Limited,01603 627 573,"121 Oak Street, Norwich, Norfolk, NR3 3BP",Printers On Plastics And Other Surfaces
6509,Anglia Access Platforms,01603 758 246,"Hill Farm Watton Rd, Norwich, Norfolk, NR9 4AR",Builders Equipment
6510,Howes Property Services,01953 789 000,"2 The Turnpike, Norwich, Norfolk, NR16 1SW",Building Construction Contractors
6511,Anglia Roadways,01603 360 025,"Linden House High Green, Norwich, Norfolk, NR15 2HU",Asphalt & Macadam Laying Contractors
6512,The New Inn Roughton,01263 761 389,"Norwich Rd, Norwich, Norfolk, NR11 8SJ",Restaurant - Chinese
6513,Hawkin's Bazaar Norwich,01603 628 015,"100 Farmers Ave, Unit 10, Norwich, Norfolk, NR1 3DD",Games And Toys Retail Sale Of
6514,J L Heating Services,07789 543 331,"7 Violet Rd, Norwich, Norfolk, NR3 4TR",Heating Contractors
6515,Dpd Parcel Shop Location - Hughes,0121 275 0500,"17/21 White Lion Street, Norwich, Norfolk, NR2 1PX",Couriers
6516,Dpd Parcel Shop Location - Motts Pharmacy (Numark),0121 275 0500,"The Chimes, Norwich, Norfolk, NR10 4JJ",Couriers
6517,Dpd Parcel Shop Location - S And S Mitchell Newsagents,0121 275 0500,"The Street, Norwich, Norfolk, NR13 4AA",Couriers
6518,Dpd Parcel Shop Location - Hughes,0121 275 0500,"Hall Road, Hall Road Retail Park, Norwich, Norfolk, NR4 6DH",Couriers
6519,Dpd Parcel Shop Location - Currys Pc World,0121 275 0500,"Unit 5 Sweetbriar Retail Park, Norwich, Norfolk, NR6 5DH",Couriers
6520,Dpd Parcel Shop Location - Matalan,0121 275 0500,"Unit 6A Riverside Retail Park, Norwich, Norfolk, NR1 1WU",Couriers
6521,Dpd Parcel Shop Location - Horsford Newsagent,0121 275 0500,"133-135 Holt Road, Norwich, Norfolk, NR10 3AB",Couriers
6522,Furniture Paramedic,01603 715 261,"88 Lackford Close, Norwich, Norfolk, NR13 5NL",Furniture (repair And Restored)
6523,Dpd Parcel Shop Location - Cycle Republic,0121 275 0500,"100 Castle Mall, 54-55 Castle Mall Shopping Centre, Norwich, Norfolk, NR1 3DD",Couriers
6524,Dpd Local Uk,01603 483 666,"Unit 2 Twickenham Road, Norwich, Norwich, Norfolk, NR6 6NG",Couriers
6525,Norwich Cleaning Services Ltd,01603 670 552,"The Moorings, 7, Stalham Rd, Norwich, Norfolk, NR12 8DG",Cleaning Contracting Commercial
6526,Drayton Tyre & Battery Ltd,01603 260 777,"Unit 16 Drayton Industrial Estate, Taverham Rd, Norwich, Norfolk, NR8 6RL",Tyre Dealers
6527,Dpd Uk,0121 275 0500,"Snetterton Park, Harling Road, Norwich, Norfolk, NR16 2JU",Couriers
6528,Simmonds Clockmaking Ltd,01508 548 085,"Unit 3 The Raveningham Centre, Beccles Rd, Norwich, Norfolk, NR14 6NU",Furniture For Home And Office
6529,A List Finishing,01603 416 777,"Unit 6-7 Jupiter Rd, Norwich, Norfolk, NR6 6SU",Car Body Repairers
6530,Allsheds,01603 722 272,"Unit 3C Wendover Rd, Norwich, Norfolk, NR13 6LH",Garden Sheds
6531,Rodway Carpentry & Joinery Ltd,07710 421 096,"Dovecote Barn Hall Rd, Norwich, Norfolk, NR9 5NF",Carpenters
6532,Blenheim Flooring Services,01603 425 176,"5 Blenheim Close, Norwich, Norfolk, NR7 8AN",Flooring Services
6533,Norfolk Tanks Ltd,01603 261 574,"Unit 2 Fir Covert Rd, Norwich, Norfolk, NR10 4DT",Builders Equipment
6534,Roys Of Bowthorpe,01603 746 622,"Bowthorpe Main Centre, Norwich, Norfolk, NR5 9HA",Supermarkets
6535,Logowear Ltd,01603 418 632,"Unit 20 Alston Rd, Hellesdon Park Ind Est, Norwich, Norfolk, NR6 5DS",Clothing Retailers
6536,Cognoscenti Car Care,07786 271 670,"Unit 2 Aylsham Rd Business Park, Norwich, Norfolk, NR3 2BF",Valeting Services
6537,A & D Builders,01603 702 999,"152A Furze Rd, Norwich, Norfolk, NR7 0AU",Building Construction Contractors
6538,Coffee Quest Ltd,01603 871 652,"One Way House Station Rd, Norwich, Norfolk, NR9 5LY",Coffee Machine Suppliers
6539,Top Notch Training,01603 699 806,"182-190 Northumberland St, Norwich, Norfolk, NR2 4EE",Driving Schools
6540,The Best Connection - Norwich,01603 662 154,"6-7 Guildhall Hill, First Floor, Norwich, Norfolk, NR2 1JG",Employment And Recruitment Companies And Consultants
6541,Fresh Start House Clearance & Removals,07789 254 535,"59 Kost Rd, Norwich, Norfolk, NR8 5DE",Removals And Storage Activities (domestic)
6542,Julie Kerridge Podiatry,01603 715 861,"7 Globe Lane, Norwich, Norfolk, NR13 4JW",Chiropodists And Podiatrists
6543,Hillside Animal Sanctuary,01603 736 200,"Hall Lane, Norwich, Norfolk, NR12 7RW",Animal And Bird Housing
6544,Wroxham Builders Ltd,01603 782 931,"Unit 1 Station Business Park, Horning Road West, Norwich, Norfolk, NR12 8QJ",Building Construction Contractors
6545,Tarmac Trowse Asphalt Plant,01206 332 379,"Bracondale, Old Station Yard, Trowse, Norwich, Norfolk, NR1 2EG",Asphalt & Macadam Laying Contractors
6546,Tarmac Spixworth Sand & Gravel Quarry,01206 332 379,"Buxton Road, Spixworth, Norwich, Norfolk, NR10 3PR",Industrial Services
6547,Heat Norfolk Ltd,01603 873 062,"155 Reepham Rd, Norwich, Norfolk, NR6 5PH",Heating Contractors
6548,Harveys Funeral Directors,01603 742 094,"1 Norwich Road, Costessey, Norwich, Norfolk, NR5 0EA",Funeral Services
6549,Gordon Barber Funeral Directors,01603 702 460,"2 St Williams Way, Norwich, Norfolk, NR7 0AW",Funeral Services
6550,Gordon Barber Funeral Directors,01603 456 250,"Church Lane, Eaton, Norwich, Norfolk, NR4 6NZ",Funeral Services
6551,Simplicity Cremations In Norwich,01603 484 396,"193 Earlham Road, Norwich, Norfolk, NR2 3RG",Funeral Services
6552,Simplicity Cremations In Horsham Saint Faith,01603 484 351,"75 Manor Road, Horsham Saint Faith, Norwich, Norfolk, NR10 3LF",Funeral Services
6553,Norfolk & Norwich Pest Control,01603 905 530,"60-62 Pitt Street, Norwich, Norfolk, NR3 1DF",Pest Control
6554,Tarmac Mangreen Sand And Gravel Quarry,01206 332 379,"Ipswich Road, Swardeston, Norwich, Norfolk, NR14 8DD",Industrial Services
6555,Tarmac Stanninghall Quarry,01206 332 379,"Norwich Road, Norwich, Norfolk, NR12 7LX",Industrial Services
6556,Machine Mart Norwich,01603 766 402,"282A Heigham Street, Norwich, Norfolk, NR2 4LZ",Machine Tools Sales Of
6557,Advantage Repair Centre,01603 751 030,"120-126 Barker Street, Norwich, Norfolk, NR2 4TN",Car Body Repairers
6558,Subway,01603 920 930,"2 Rampant Horse Street, Norwich, Norfolk, NR2 1QR",Restaurants
6559,Subway,01603 732 855,"2 Dereham Road, Norwich, Norfolk, NR5 0SY",Restaurants
6560,Your Move Estate Agents Bennetts Norwich East,01603 708 978,"209 Plumstead Road, Norwich, Norfolk, NR1 4AB",Estate Agents
6561,Amplifon,01603 626 377,"17 St Stephens Street, Norwich, Norfolk, NR1 3QN",Hearing Aid Suppliers
6562,Currys Pc World Featuring Carphone Warehouse,3445610000,"Unit 5 Sweet Briar Retail Park, Norwich, Norfolk, NR6 5DH",Electronic Component Manufacture And Distribution
6563,John Brown Funeral Services,01603 419 397,"102 North Walsham Rd, Norwich, Norfolk, NR6 7QQ",Funeral Services
6564,Gray's Fitted Furniture Ltd,01603 860 694,"Unit 1 Drayton Ind Est, Taverham Rd, Norwich, Norfolk, NR8 6RL",Kitchen Planners And Installers
6565,Nando's Norwich - Riverside,01603 663 930,"Koblenz Avenue, Unit 7B, Riverside Entertainment Centre, Norwich, Norfolk, NR1 1WX",Fast Food Delivery
6566,J & O Installations,01603 266 029,"25 Station Rd, Norwich, Norfolk, NR12 7JG",Doors & Shutters (sales And Installation)
6567,Trade Glazing Systems Ltd,01603 404 783,"Unit 2 Roundtree Close, Norwich, Norfolk, NR7 8SX",Replacement Window Services And Repairs
6568,Beth Clements Consulting Ltd,01603 627 963,"17-19, St. Georges Street, Norwich, Norfolk, NR3 1AB",
6569,001 Taxis,01865 240 000,"108, St. Aldates, Oxford, Oxfordshire, OX1 1BU",Taxis
6570,Headington Autoparts & Accessories,01865 750 111,"1 Girdlestone Rd, Oxford, Oxfordshire, OX3 7LZ",Car Accessories And Parts
6571,Oxbridge Plumbing & Building,07785 588 220,"Mafeking, Weirs Orchard, Weirs Lane, Oxford, Oxfordshire, OX1 4UP",Boilers Servicing And Repairs
6572,Eventspros Uk,0808 288 0387,"20 Oliver Rd, Oxford, Oxfordshire, OX4 2JE",Mobile Disco Operators
6573,Sure Gas Boiler Repairs,07899 629 629,"9 Phipps Rd, Oxford, Oxfordshire, OX4 3HJ",Boilers Servicing And Repairs
6574,Kealers,01844 279 614,"Lower End, Oxford, Oxfordshire, OX44 7NL",Kitchen Planners And Installers
6575,Tui Holiday Store,01865 748 824,"18 The Square, Templars Sq.Shopping Centre, Cowley, Oxford, Oxfordshire, OX4 3UZ",Travel Agency Activities
6576,Lina Guest House,01865 511 070,"308 Banbury Rd, Oxford, Oxfordshire, OX2 7ED",Hotels
6577,Base Line Paving Ltd,01865 987 774,"266 Banbury Rd, Summertown, Oxford, Oxfordshire, OX2 7DL",Paving Contractors
6578,G Hunt Carpenters,07388 671 403,"15 Egerton Rd, Oxford, Oxfordshire, OX4 4JF",Carpenters
6579,Wg Miniskip Hire & Rubbish Clearance Service,07783 192 592,"10 Kiln Lane, Oxford, Oxfordshire, OX44 9AR",Waste Disposal
6580,Best Western Plus Oxford Linton Lodge Hotel,01865 553 461,"Linton Road, Oxford, Oxfordshire, OX2 6UJ",Hotels
6581,Avis,3445446087,"Unit 1, Osney Lane, Oxford Business Centre, Oxford, Oxfordshire, OX1 1TB",Vehicle Rental (car)
6582,Mucky Pups Dog & Cat Grooming Service,01865 420 630,"4 Brampton Rd, Oxford, Oxfordshire, OX3 9NE",Dog Training
6583,Oxford Psychic Vision,07879 828 698,"Flat 5, Hendred House, Hendred St, Oxford, Oxfordshire, OX4 2ED",Clairvoyants & Palmists
6584,Wolseley,01865 724 641,"Botley Works, North Hinksey Lane, Oxford, Oxfordshire, OX2 0NB",Plumbers Merchants
6585,Yoana Browning,01865 762 811,"25, Eden Drive, Oxford, Oxfordshire, OX3 0AB",Alternative Medical Treatments And Therapies
6586,Greengrass Landscapers Oxford,07506 760 333,"2, Songers Close, Oxford, Oxfordshire, OX2 9DL",Landscape Contractors
6587,Construction Recovery Solutions,07975 730 228,"Carrog, Oxford, Oxfordshire, OX3 9TX",Debt Collection Agencies
6588,Oxford Jims Towbars,0800 801 215,"84 Marston Rd, Oxford, Oxfordshire, OX3 0EE",Towing Bars Fitting And Supply
6589,Sd Gas Services & Plumbing,07823 882 152,"3 Simpsons Way, Oxford, Oxfordshire, OX1 5RZ",Heating Contractors
6590,Jacobsen Black Estates,01865 582 232,"1 Van Diemans Lane, Oxford, Oxfordshire, OX4 3QA",Legal Services
6591,Strategic Inbound,01865 528 657,"John Eccles House, Robert Robinson Avenue, Oxford, Oxfordshire, OX4 4GP",Marketing Consultants
6592,Core Event Hire,01865 580 406,"13 Leyshon Rd, Oxford, Oxfordshire, OX33 1XF",Audio/visual Equipment
6593,Mc Building Services Uk Ltd,07886 556 017,"8 St. Pauls Crescent, Oxford, Oxfordshire, OX2 9AG",Building Construction Contractors
6594,Oxfordshire Elite Private Staff,07521 301 875,"Underhill Circus, Oxford, Oxfordshire, OX3 9LS",Employment And Recruitment Companies And Consultants
6595,Everycare Oxford,01865 778 330,"Suite 1A Temple Court 107, Oxford Rd, Oxford, Oxfordshire, OX4 2ER",Doctors
6596,David Lloyd Oxford,3451296811,"Oxford Business Park North, Garsington Rd, Oxford, Oxfordshire, OX4 2JY",Fitness Equipment
6597,Muscle Doctor - Sports Massage - Oxford,07809 434 463,"16 Blacksmiths Meadow, Oxford, Oxfordshire, OX4 7YF",Physiotherapists
6598,French & Spanish Tuition,01865 716 924,"1 Crescent Road, Oxford, Oxfordshire, OX4 2NZ",Further Education Schools And Colleges
6599,Ministry Of Photobooth,07535 639 739,"20 Birchfield Close, Oxford, Oxfordshire, OX4 6DL",Photographers (general)
6600,Oxford Vets Hilltop,01865 736 060,"The Barn Hinksey Heights, South Hinksey, Southern-By-Pass, Oxford, Oxfordshire, OX1 5AB",Veterinary Pharmacies
6601,Mosaic Marketing And Promotions,01865 877 711,"Richmond Hill Farm, Oxford, Oxfordshire, OX44 7XF",Business Services
6602,Mortgages Inc,01865 874 811,"30 Elton Crescent, Oxford, Oxfordshire, OX33 1UZ",Mortgage Brokers
6603,Matalan,3330044444,"5, John Allen Centre, 3-4 Between Towns Rd, Oxford, Oxfordshire, OX4 3JP",Clothing Retailers
6604,Abodes Of Oxford,01865 435 229,"6 Blackman Close, Oxford, Oxfordshire, OX1 5NU",Hotels
6605,College Cruisers,01865 554 343,"Combe Rd, Oxford, Oxfordshire, OX2 6BL",Boat Rental Leasing And Charter
6606,Trespass,01865 721 206,"Norfolk St, Eastgate 10, Oxford, Oxfordshire, OX1 1PE",Outdoor Clothing And Equipment
6607,Shiny Hand Car Wash,07387 376 086,"300 Cowley Rd, Oxford, Oxfordshire, OX4 2AF",Valeting Services
6608,A F Electrical,01865 245 084,"3 Linch Farm, Oxford, Oxfordshire, OX2 8QP",Electrical Contractors And Electricians
6609,Lead Cleaning Solutions,07454 950 027,"175 Hollow Way, Oxford, Oxfordshire, OX4 2NE",Cleaning Contracting Commercial
6610,R. Timms Tree Surgery & Shrub Care,01865 244 608,"80 Oxford Rd, Oxford, Oxfordshire, OX3 0RD",Gardening Services
6611,Dpd Parcel Shop Location - Majestic Wine,0121 275 0500,"381 Cowley Road, Oxford, Oxfordshire, OX4 2BS",Couriers
6612,Dpd Parcel Shop Location - Currys Pc World,0121 275 0500,"Unit 1 Lamarsh Road, Oxford, Oxfordshire, OX2 0HY",Couriers
6613,Dpd Parcel Shop Location - Rowlands Pharmacy,0121 275 0500,"13 Atkyns Road, Oxford, Oxfordshire, OX3 8RA",Couriers
6614,The Works,01865 775 474,"Templars Shopping Park, Cowley, Oxford, Oxfordshire, OX4 3JP",Discount Centres
6615,Principle Home Developments Ltd,07555 404 553,"65 Warren Crescent, Oxford, Oxfordshire, OX3 7NQ",Building Construction Contractors
6616,Roy Barrett & Sons Ltd,01865 242 641,"154 Herschel Crescent, Oxford, Oxfordshire, OX4 3TY",Plumbers
6617,Driveprofessional,07434 821 917,"97 Masons Rd, Oxford, Oxfordshire, OX3 8QN",Driving Schools
6618,Dura Civils Ltd,01865 570 283,"125 London Rd, Oxford, Oxfordshire, OX3 9HZ",Stonemasons
6619,Fps Air Compressors Ltd,01865 892 620,"Unit 5, Tower Estate, Warpsgrove Lane, Oxford, Oxfordshire, OX44 7XZ",Air And Other Gas Compressors
6620,Dpd Parcel Shop Location - Rowlands Pharmacy,0121 275 0500,"194 Banbury Road, Oxford, Oxfordshire, OX2 7BY",Couriers
6621,Dpd Parcel Shop Location - Boswells Of Oxford Ltd,0121 275 0500,"2Nd Floor 1-4 Broad Street, Oxford, Oxfordshire, OX1 3AG",Couriers
6622,Dpd Parcel Shop Location - Matalan,0121 275 0500,"Unit 5 The John Allen Centre, Oxford, Oxfordshire, OX4 3JP",Couriers
6623,Dpd Parcel Shop Location - Sainsbury's,0121 275 0500,"Unit 1 The John Allen Centre, Oxford, Oxfordshire, OX4 3JP",Couriers
6624,Oxford Stone Craftsmanship Ltd,01865 777 303,"Unit 5 16A Pony Road, Horspath Industrial Estate, Oxford, Oxfordshire, OX4 2RD",Stonemasons
6625,Gorman Civil Engineering & Groundworks Ltd,01865 875 530,"The Laurels, Oxford, Oxfordshire, OX33 1PS",Civil Engineers
6626,Mr Clutch Autocentres,01865 236 841,"Unit 12-13, Isis Business Centre, Pony Road, Oxford, Oxfordshire, OX4 2RD",Motor Vehicle Mechanics
6627,Waitrose & Partners At Oxford Peartree Services,0800 188 884,"Western By-Pass Rd, Peartree Interchange, A34/A40/A44, Oxford, Oxfordshire, OX2 8JZ",Supermarkets
6628,David Spicer Optometrists,01865 241 142,"1 Elms Parade, Botley, Oxford, Oxfordshire, OX2 9LG",Optical Goods (retail)
6629,Byron,01865 792 155,"33 -35 George Street, Oxford, Oxfordshire, OX1 2AY",Restaurants
6630,Simplicity Cremations In Oxford,01865 952 389,"Bayswater Road, Headington, Oxford, Oxfordshire, OX3 9RZ",Funeral Services
6631,Currys Pc World Featuring Carphone Warehouse,3445610000,"Unit 1, Lamarsh Road, Oxford, Oxfordshire, OX2 0HY",Electronic Component Manufacture And Distribution
6632,Bright Horizons Triangle Day Nursery And Preschool,3300579188,"Triangle Nursery, University Of Oxford, Old Road Campus, Headington, Oxford, Oxfordshire, OX3 7XP",Nanny Agencies
6633,Buildbase Oxford,01865 787 701,"Watlington Road, Cowley, Oxford, Oxfordshire, OX4 6LN",Building Block Manufacturers And Suppliers
6634,"Samantha Manning Licac, Dip Paed, Mbacc",01865 251 233,"The Iffley Turn Practice, 3, Church Cowley Rd, Oxford, Oxfordshire, OX4 3JR",Acupuncture Practitioners
6635,Nando's Oxford - Westgate,01865 726 274,"Castle Street, Ru6, Westgate, Oxford, Oxfordshire, OX1 1NZ",Fast Food Delivery
6636,Next,3330055017,"Queen Street, Unit 205, Oxford, Oxfordshire, OX1 1TR",Clothing Retailers
6637,Eyesite Oxford,01865 242 300,"35 Saint Ebbes Street, Oxford, Oxfordshire, OX1 1PU",Optical Goods (retail)
6638,Chancellors - Botley Estate Agents,01865 724 446,"11 West Way, Botley, Oxford, Oxfordshire, OX2 9TJ",Estate Agents
6639,Nando's Oxford - George Street,01865 727 465,"77-79 George Street, Oxford, Oxfordshire, OX1 2BQ",Fast Food Delivery
6640,Nando's Oxford - Cowley Road,01865 203 357,"80 Cowley Road, Oxford, Oxfordshire, OX4 1JB",Fast Food Delivery
6641,Kfc Oxford,01865 243 971,"140 Cowley Road, Oxford, Oxfordshire, OX4 1JJ",Fast Food Delivery
6642,Wild Bean Cafe,01865 557 164,"Woodstock Road, A40, Oxford, Oxfordshire, OX2 8AL",Cafes And Snack Bars
6643,Ole & Steen,01865 952 286,"Oxford, 133 Queen Street Westgate, L42, Oxford, Oxfordshire, OX1 1PB",Cafes And Snack Bars
6644,Bp,01865 765 692,"Cherwell Drive, Oxford, Oxfordshire, OX3 0NA",Petrol Service Stations
